hour,day_of_year,irradiance_W_m2,ambient_temp_C,panel_temp_C,humidity_percent,wind_speed_m_s,voltage_V,current_A,condition_encoded
14,344,453.92,33.46,45.48,43.5,1.105,30.226,15.0,2
11,241,827.52,25.81,50.41,29.91,1.295,32.281,15.0,2
23,81,3.27,15.81,15.32,94.83,1.004,29.312,0.5243,2
3,349,0.0,24.14,24.28,93.33,3.971,18.496,0.0,3
19,284,0.0,25.1,25.48,88.76,3.107,3.643,0.03,1
4,351,1.92,23.58,24.26,92.21,3.401,28.096,0.7129,2
17,137,352.82,18.74,30.16,67.05,2.326,29.438,15.0,2
20,293,33.57,24.06,24.01,95.84,4.333,15.106,0.8809,3
17,328,201.95,30.24,38.01,62.71,5.14,30.013,11.3959,2
22,309,3.23,20.56,20.53,92.92,7.407,29.187,0.1282,4
12,49,654.42,29.36,48.4,33.36,3.785,29.407,15.0,2
16,215,530.25,24.44,41.13,53.77,2.899,31.195,15.0,2
11,210,957.51,23.1,52.49,29.39,0.999,29.829,15.0,2
6,46,145.42,25.94,30.22,80.97,3.299,28.425,6.4749,0
22,357,0.03,23.83,23.37,99.43,0.908,30.1,0.0,2
23,226,0.0,16.54,15.48,100.0,1.894,29.471,0.6581,4
18,331,125.57,24.01,28.46,73.11,1.515,29.362,6.2009,0
3,108,0.0,16.32,15.64,97.92,2.731,27.392,0.0143,4
9,62,498.36,30.88,45.77,48.9,1.583,29.394,15.0,2
18,187,215.34,16.56,22.38,80.08,1.379,28.561,13.857,2
5,104,5.42,20.63,19.65,89.59,4.519,28.926,0.4157,2
9,156,722.27,21.17,44.95,46.9,2.534,29.811,15.0,2
11,141,940.38,23.18,53.12,32.67,3.265,31.431,15.0,2
15,130,673.82,22.85,45.34,46.99,3.119,6.999,15.0,1
0,266,13.12,16.45,16.94,93.15,2.14,29.059,0.0309,0
13,310,563.58,32.99,49.37,34.14,2.012,30.591,15.0,0
13,224,906.11,25.69,54.03,31.84,2.867,29.729,15.0,2
21,29,2.44,24.77,25.6,92.34,1.858,28.597,0.0057,0
14,98,721.89,27.29,50.05,34.3,1.147,29.366,15.0,2
15,231,615.26,26.22,46.3,42.52,7.136,30.168,15.0,2
14,307,519.37,31.54,47.29,39.61,3.632,30.696,15.0,0
22,61,0.0,20.94,19.73,100.0,3.097,28.182,0.1746,0
17,203,355.75,20.63,32.0,63.37,0.168,31.632,13.9657,0
11,102,804.22,28.69,53.39,30.27,4.622,31.478,15.0,4
8,305,296.39,27.83,36.84,53.56,2.243,26.458,15.0,2
10,8,447.01,30.57,45.27,43.03,3.178,4.496,15.0,1
23,50,0.0,17.79,17.1,95.63,2.358,2.91,0.0,1
0,336,9.05,22.12,22.41,94.11,3.839,26.211,0.9987,0
9,84,565.84,26.15,44.12,43.24,2.555,30.313,15.0,0
5,335,8.36,27.15,27.52,87.17,1.652,30.102,0.4166,2
21,266,10.25,20.34,20.37,95.11,3.006,29.222,0.7889,2
10,146,871.63,24.78,51.72,39.6,3.779,31.7,15.0,4
20,311,0.51,22.66,23.16,92.25,4.405,28.122,0.0,2
15,242,587.33,28.07,46.99,50.46,0.932,30.267,15.0,0
17,243,307.53,23.3,33.25,61.1,4.317,30.465,15.0,2
19,242,0.0,18.02,18.75,90.3,3.773,28.39,0.6427,4
12,362,563.19,31.45,49.31,36.72,2.105,19.647,15.0,3
22,299,3.08,19.03,19.86,91.93,2.777,29.366,0.3568,0
22,143,7.92,13.1,13.27,97.42,1.837,29.266,0.0073,4
23,317,13.91,20.77,22.01,93.25,3.112,28.791,0.8781,2
23,185,33.22,12.17,13.86,93.08,3.104,16.629,2.7956,3
14,117,782.78,26.16,50.97,39.44,4.692,29.426,15.0,2
7,179,380.06,16.74,30.12,61.56,4.501,29.025,15.0,2
7,348,182.58,29.08,34.72,70.51,1.942,17.594,6.3168,3
9,194,688.46,22.18,44.44,48.84,2.86,28.969,15.0,4
2,81,8.5,18.62,18.03,89.96,4.597,30.017,0.0,4
12,246,833.42,26.86,53.71,33.03,2.236,31.404,15.0,2
19,12,28.44,25.98,26.56,86.08,3.406,27.597,1.7975,0
11,294,640.37,28.03,46.89,36.41,3.513,29.251,15.0,2
21,100,15.34,19.56,19.12,92.71,2.8,17.213,0.9478,3
14,211,829.98,26.79,52.82,37.29,2.284,30.391,15.0,2
19,244,0.0,21.17,20.37,89.22,2.725,28.794,0.2974,2
12,28,576.02,30.55,48.5,33.84,3.573,29.403,15.0,2
4,214,2.09,13.25,13.63,95.99,1.974,26.71,0.0291,4
18,105,184.2,22.06,28.24,75.26,2.989,28.599,11.4692,2
22,226,34.12,15.16,16.45,94.09,4.253,16.519,0.9946,3
10,243,745.21,26.39,49.01,36.76,0.526,19.532,15.0,3
23,19,33.59,21.28,23.17,97.63,6.573,5.851,0.0923,1
10,93,722.57,26.32,47.68,39.06,1.902,30.423,15.0,2
4,235,0.0,17.18,17.37,95.75,3.351,29.263,0.017,0
5,191,0.0,14.18,15.18,85.97,1.308,27.538,0.3867,2
1,82,5.79,18.92,21.03,94.6,4.2,29.374,0.0,0
13,261,717.09,27.35,50.68,31.94,3.125,29.742,15.0,2
6,108,234.36,20.61,28.16,80.3,1.397,5.069,8.7441,1
0,278,3.75,20.83,20.84,95.75,5.2,29.106,0.0,4
12,318,573.01,34.89,53.58,33.1,2.319,30.006,13.0412,4
13,310,569.89,27.81,45.74,39.34,4.351,29.326,15.0,2
9,294,464.88,29.32,43.99,45.45,3.076,30.068,15.0,2
1,94,2.59,18.24,18.86,89.93,2.832,27.259,0.0989,0
5,79,7.07,22.43,23.34,84.58,2.161,28.739,0.6737,2
11,279,695.33,26.78,47.89,30.89,3.352,29.766,15.0,2
4,270,0.0,19.44,20.25,97.24,0.431,29.371,0.9485,2
21,240,1.19,20.08,20.96,94.0,4.358,27.554,0.1481,2
16,345,310.03,32.03,41.38,55.91,0.726,16.332,12.3462,3
19,187,19.22,16.31,17.8,92.45,2.544,30.003,1.1114,0
13,257,801.32,25.73,51.06,29.57,5.18,18.001,15.0,3
19,239,0.0,20.46,22.07,93.97,0.227,29.384,0.0417,2
12,53,691.09,31.48,53.22,35.75,2.989,30.599,15.0,2
3,159,0.0,15.09,16.12,96.25,4.624,28.287,0.0,2
14,284,588.64,29.2,47.1,40.02,1.778,30.574,15.0,2
8,67,393.2,29.1,41.49,57.1,1.304,20.552,12.6129,3
0,38,10.08,20.59,21.02,100.0,2.35,29.921,0.3194,0
13,214,916.31,24.14,52.78,33.66,2.131,3.874,15.0,1
15,246,615.32,26.12,44.35,44.98,3.702,28.255,15.0,4
12,75,734.54,26.84,51.26,32.46,3.299,31.478,15.0,2
3,99,21.11,18.36,18.6,93.8,2.938,31.198,0.9243,2
3,299,0.0,20.82,21.88,98.42,1.593,29.109,0.0176,4
15,54,469.03,29.54,44.49,44.1,1.353,28.544,15.0,0
12,152,1029.67,23.28,55.2,31.64,1.218,29.316,15.0,2
13,74,699.91,29.2,51.58,38.58,4.655,29.538,15.0,0
2,99,5.77,16.28,17.36,99.12,0.979,28.407,0.2096,2
13,229,886.88,25.91,53.94,33.77,4.669,31.313,15.0,4
5,363,15.96,25.3,25.83,93.96,1.445,15.787,0.9401,3
0,192,0.0,15.5,15.47,94.62,3.967,28.366,0.2745,2
10,335,482.25,32.18,47.93,48.5,3.007,30.809,15.0,2
3,48,0.0,22.32,21.56,96.28,2.22,17.34,0.6432,3
6,186,257.4,17.81,25.56,74.55,3.51,28.493,6.8675,4
1,240,3.3,16.48,16.31,91.24,2.675,27.397,0.0,2
13,278,699.88,30.96,53.36,37.95,2.052,30.623,15.0,2
16,240,449.55,26.0,40.38,55.82,4.138,29.131,15.0,2
21,110,5.06,17.61,17.19,94.25,2.98,26.988,0.0393,2
3,40,0.0,23.32,23.66,100.0,2.126,27.531,0.0511,2
4,84,3.49,16.81,15.65,96.58,2.778,29.176,0.0475,4
0,26,0.0,23.51,22.94,95.54,4.948,27.973,0.217,0
6,252,180.2,20.69,27.3,78.39,3.122,30.89,10.0188,2
7,264,270.71,23.94,31.59,68.19,1.296,29.362,15.0,2
21,188,0.76,12.46,10.85,90.65,1.574,29.232,0.0918,2
18,261,181.42,19.01,23.73,82.28,3.071,28.45,11.2256,2
7,187,412.83,20.34,32.35,62.35,2.021,29.735,15.0,2
1,16,0.0,26.26,26.21,94.46,2.055,28.335,0.2412,4
2,148,8.03,16.08,16.24,93.05,4.192,29.163,0.0416,2
22,108,0.0,16.31,17.45,93.77,4.097,28.8,0.1129,2
10,109,742.52,26.43,50.52,34.66,1.628,32.166,15.0,2
22,86,38.17,15.86,17.28,92.76,3.152,29.653,0.8636,0
15,9,382.64,33.07,44.4,51.94,4.942,19.061,12.6484,3
12,74,750.27,28.86,52.66,31.98,2.071,30.793,15.0,4
22,326,0.19,22.96,24.07,95.54,0.351,2.858,0.0,1
15,224,669.31,24.96,45.94,52.3,3.046,5.003,15.0,1
7,291,252.52,26.86,33.25,69.66,3.18,28.639,10.3087,0
8,233,478.18,23.34,37.5,51.4,1.707,29.204,15.0,2
9,157,737.83,21.63,43.71,40.96,3.19,16.138,15.0,3
16,132,522.13,20.6,36.5,52.38,1.861,32.229,15.0,0
23,104,6.93,12.29,11.36,88.22,1.719,27.612,0.6708,0
0,295,20.45,22.61,22.61,93.97,1.482,17.049,1.0134,3
18,108,218.11,21.29,28.84,77.85,3.112,28.385,13.8472,2
18,355,123.73,28.18,32.24,81.58,3.014,17.136,5.0572,3
3,224,0.25,15.58,16.07,93.04,3.411,29.432,0.8498,4
16,118,509.02,22.63,36.82,56.99,1.88,29.028,15.0,2
12,51,659.93,31.22,50.97,39.53,2.729,29.412,15.0,0
19,161,12.9,17.58,18.58,88.37,2.891,28.545,0.6683,4
14,338,464.14,33.06,47.55,43.63,0.86,29.218,11.5876,4
2,292,18.57,21.17,20.81,91.07,4.067,28.791,0.393,4
1,9,0.0,23.13,23.95,99.5,0.99,30.124,0.065,2
5,39,8.08,25.12,26.02,90.33,3.922,19.017,0.9151,3
3,362,0.0,24.39,25.26,99.35,1.434,27.399,1.0861,2
2,261,6.05,20.6,21.04,93.1,4.055,4.077,1.1397,1
2,99,24.31,17.86,18.57,98.32,3.146,29.635,0.2748,2
5,148,0.0,18.88,18.6,87.86,1.182,28.55,0.1017,2
5,132,15.97,17.08,16.69,93.13,3.906,18.359,0.5036,3
5,189,10.13,17.89,17.81,86.04,1.754,28.887,0.0884,2
15,262,520.65,25.41,43.41,45.42,2.413,29.676,15.0,0
19,271,8.05,23.04,24.12,90.16,0.921,29.268,0.3838,2
12,4,531.08,32.78,49.52,34.58,3.142,29.704,15.0,2
14,335,443.73,33.19,46.64,42.13,3.325,30.253,15.0,2
21,286,11.91,20.91,22.27,94.71,3.252,4.297,0.0,1
6,235,202.34,22.63,28.55,77.7,2.739,29.099,12.1176,2
18,106,226.88,21.81,26.87,71.79,3.901,28.493,13.4407,2
19,263,0.0,20.95,20.25,91.65,4.302,28.982,0.0474,0
21,293,32.51,24.2,23.94,90.96,2.658,3.302,8.9553,1
7,152,370.57,20.62,32.61,61.45,3.837,29.311,9.7562,4
8,242,480.96,27.34,40.85,59.22,1.488,29.305,15.0,2
23,123,0.0,13.67,13.24,100.0,2.879,16.729,0.0576,3
9,42,427.87,28.32,41.01,42.35,2.018,29.831,15.0,0
18,263,195.23,23.0,29.97,73.47,1.361,28.253,8.0702,0
23,214,31.55,14.59,15.29,97.43,3.696,29.769,0.3532,4
16,354,259.15,28.07,36.66,57.83,3.884,29.081,14.1369,2
14,202,857.88,22.24,49.35,36.43,2.445,31.217,15.0,2
16,350,277.02,28.28,37.85,56.0,4.591,29.337,15.0,2
4,55,17.44,21.62,22.41,99.04,3.309,28.447,0.4777,2
12,83,795.78,27.7,53.07,37.22,2.967,32.518,15.0,0
2,254,0.0,18.47,18.04,90.99,3.552,29.941,0.0282,0
15,195,693.78,21.83,43.39,47.05,3.355,29.911,15.0,2
6,120,218.79,17.96,25.23,74.72,3.92,30.143,4.8037,4
20,176,2.9,17.24,17.76,95.79,4.108,29.413,0.0,2
14,49,585.49,29.23,47.05,43.28,4.756,31.901,12.6199,4
20,68,0.0,21.02,21.85,99.06,1.82,28.931,0.1993,2
7,266,275.84,25.86,34.61,63.8,0.783,28.903,15.0,2
17,289,242.31,28.76,36.73,69.7,0.753,29.539,8.2794,0
14,291,570.3,31.84,49.94,39.03,1.553,30.452,15.0,2
9,310,413.59,28.09,42.36,51.73,2.35,30.521,15.0,0
20,93,0.34,20.21,19.48,90.01,3.157,2.983,7.2338,1
12,329,559.19,32.87,49.67,37.85,1.222,30.829,15.0,0
2,130,0.0,12.85,13.33,94.63,4.707,29.654,0.161,2
14,345,432.16,32.5,44.83,40.86,1.883,29.083,15.0,2
22,316,4.3,20.17,20.12,96.56,2.691,28.772,0.4326,4
5,334,0.0,26.33,26.24,93.13,0.281,30.687,0.0,2
10,292,542.35,29.94,48.24,40.19,0.457,30.388,13.0621,4
10,238,754.9,25.54,49.32,33.75,1.355,30.83,15.0,4
16,86,408.95,26.65,39.33,55.58,1.43,16.181,15.0,3
20,193,14.96,16.96,17.82,99.81,2.364,29.585,0.6476,2
5,17,0.0,26.18,25.68,93.31,0.832,28.757,0.3327,2
2,32,0.0,22.75,23.07,97.38,4.625,28.679,0.0278,0
19,351,2.85,24.14,23.27,88.01,2.979,27.761,1.0018,2
12,356,513.61,34.54,50.59,39.81,4.25,28.794,12.2215,4
10,282,608.59,27.25,45.84,41.82,4.733,29.202,14.621,4
15,195,701.11,22.42,43.93,44.9,3.692,30.817,15.0,2
20,93,7.26,17.0,16.72,99.21,2.89,29.52,0.0,2
13,40,582.86,30.55,49.36,40.35,2.134,29.479,15.0,0
6,117,209.51,19.1,25.75,73.43,3.096,14.075,10.8744,3
23,343,0.0,20.54,19.78,96.13,1.709,29.071,0.0822,2
19,272,9.8,21.8,22.35,90.86,2.385,28.379,0.0929,2
8,175,524.02,21.52,41.26,54.63,2.713,29.173,15.0,0
0,112,4.48,16.4,15.97,94.15,3.686,28.049,0.0,4
4,85,3.63,18.92,19.37,97.77,2.665,27.631,0.0,4
19,125,3.9,18.23,17.99,92.82,1.747,27.725,0.0,0
22,343,7.07,22.73,22.35,92.4,1.802,27.52,0.0561,4
18,24,141.96,27.09,31.31,82.34,2.176,28.606,8.2204,2
19,331,14.44,26.1,27.22,89.61,1.288,29.531,0.0507,4
5,258,0.0,19.99,19.95,88.55,1.912,28.163,0.0,2
20,12,1.47,25.17,23.6,95.53,3.559,28.402,0.0,2
10,296,566.85,33.04,50.45,41.2,5.576,30.348,15.0,2
7,113,327.58,24.61,35.01,62.58,4.877,29.63,12.9931,0
8,141,504.47,19.59,34.91,53.22,4.32,30.291,15.0,2
3,285,20.29,21.57,21.92,98.95,2.706,28.752,0.0,2
2,175,24.83,13.34,13.96,91.98,3.138,28.306,1.3852,2
4,58,20.36,22.25,22.53,95.27,3.981,29.553,0.0,4
9,93,598.56,24.96,45.16,49.1,2.777,18.887,15.0,3
21,218,24.95,14.4,15.33,93.08,3.05,28.733,0.7284,2
3,166,14.3,13.69,14.35,95.17,1.269,29.474,0.0,2
23,351,22.05,21.09,21.12,92.53,1.174,29.537,0.9648,2
2,23,25.98,21.67,21.44,92.77,6.037,27.093,0.8333,0
23,173,6.21,13.8,13.69,97.88,1.33,28.915,0.565,0
0,125,0.0,15.31,14.99,94.79,1.047,28.769,0.2916,2
14,122,812.19,21.56,47.63,37.86,1.548,30.041,15.0,2
19,300,0.0,24.38,23.86,92.45,2.932,29.906,0.2754,4
16,97,453.88,24.04,37.41,58.56,2.02,19.384,15.0,3
15,248,604.46,26.37,46.07,39.64,3.951,30.509,15.0,2
16,321,300.16,26.21,36.05,58.3,3.85,4.993,11.5122,1
17,79,246.57,25.25,32.5,64.29,3.153,31.187,14.6268,2
21,24,0.0,18.7,18.81,94.16,1.306,28.745,0.0,4
20,219,5.02,16.57,16.7,93.61,3.756,28.877,0.5379,2
2,124,0.45,13.81,13.39,96.01,1.701,17.963,0.0521,3
14,91,699.06,28.25,51.28,36.76,7.363,30.886,15.0,2
16,311,305.41,30.06,39.16,57.19,1.552,18.126,11.9795,3
23,219,0.0,14.1,14.86,92.22,1.517,29.01,0.0,2
15,136,687.62,21.61,44.4,46.39,1.833,31.119,15.0,4
4,190,30.27,11.38,10.83,97.29,2.095,29.293,1.069,2
19,155,31.98,17.88,20.21,91.37,2.557,29.473,1.5283,2
23,63,0.0,18.07,19.26,98.42,0.707,15.122,0.0233,3
8,363,260.02,30.25,39.22,55.88,2.08,30.136,15.0,2
12,85,801.42,27.29,52.53,29.95,2.493,29.693,15.0,0
23,277,0.0,20.23,20.1,97.02,3.031,31.209,0.3817,2
16,88,414.76,22.82,36.3,60.79,0.892,31.07,14.81,0
1,257,2.14,17.28,18.29,93.92,1.085,15.398,0.0214,3
6,224,241.73,20.77,28.32,74.66,0.542,19.692,9.2896,3
7,257,273.87,23.5,32.02,67.35,1.852,29.589,15.0,2
6,343,139.88,29.41,32.99,76.12,1.154,27.485,5.9561,0
10,209,842.33,23.13,51.14,35.32,1.168,29.84,15.0,4
16,1,280.59,29.23,39.05,63.1,3.636,29.511,11.2172,0
23,32,10.97,21.14,21.44,96.34,0.538,29.691,1.5316,2
18,255,210.17,22.73,28.8,75.9,2.743,28.654,5.0354,4
23,199,0.0,12.66,11.96,93.4,2.202,28.755,0.0367,2
16,163,570.31,19.72,36.9,53.75,0.165,19.784,15.0,3
8,72,411.37,25.2,37.5,61.25,3.671,29.742,15.0,2
11,114,871.72,25.06,52.36,37.24,0.949,31.429,15.0,4
7,71,260.86,24.6,33.48,66.43,2.046,27.649,11.1154,0
7,222,298.24,21.6,29.68,62.67,2.355,28.096,15.0,2
22,168,0.0,13.23,12.55,97.04,1.22,28.953,0.4209,2
19,253,0.0,20.7,20.76,90.61,3.18,28.859,0.169,4
6,291,135.88,26.47,30.41,70.71,3.184,28.88,7.8391,2
20,116,1.69,15.68,17.53,95.45,2.364,29.577,0.3919,2
14,25,491.4,31.73,46.19,43.14,4.319,29.871,15.0,2
13,149,985.29,22.04,53.21,34.84,1.835,31.825,15.0,4
18,298,140.27,26.36,31.29,73.58,1.905,28.5,3.594,4
8,286,331.82,27.41,37.95,57.39,4.548,29.702,12.8971,0
20,218,12.47,16.4,16.58,98.89,1.705,26.696,1.1755,2
23,293,17.52,20.54,22.32,90.31,3.324,28.134,0.0,4
13,18,546.82,33.24,49.95,36.62,3.581,30.782,15.0,2
14,63,604.48,28.73,47.03,41.31,3.157,30.116,14.3513,4
20,88,0.0,19.61,19.66,92.54,3.6,28.139,0.0,0
16,150,514.27,19.91,36.79,51.23,2.828,29.66,15.0,0
1,358,0.0,23.06,21.9,88.76,2.931,29.796,0.2063,2
21,283,0.0,21.48,22.53,92.67,3.765,28.444,0.0583,2
7,74,292.8,20.3,29.6,64.56,1.985,30.448,15.0,2
15,177,713.2,21.62,44.4,45.7,3.689,29.628,15.0,0
8,86,418.38,27.3,40.28,55.31,2.894,30.974,15.0,2
0,40,0.0,19.36,18.94,96.01,2.342,27.274,0.0,2
13,259,785.17,27.85,52.59,32.03,3.499,29.477,15.0,2
14,31,509.64,33.27,48.67,42.0,2.479,31.336,15.0,2
19,228,2.32,19.79,19.43,88.92,2.019,27.859,0.0105,2
22,349,15.61,25.09,23.96,95.59,2.928,29.075,0.935,0
2,80,21.98,20.29,21.62,94.58,1.928,29.088,0.2041,4
18,1,130.93,28.86,34.01,82.16,4.661,28.343,8.5942,2
19,182,6.95,15.85,15.73,82.36,0.685,14.135,0.7542,3
18,252,170.77,19.85,26.82,71.44,2.575,29.675,10.4492,2
13,318,548.91,30.48,46.68,37.66,2.151,17.464,15.0,3
14,71,626.5,27.3,45.24,39.52,5.482,30.931,15.0,0
13,262,732.72,25.64,47.78,40.51,2.858,31.972,15.0,2
13,145,968.35,24.93,55.36,34.36,2.864,30.743,15.0,2
12,142,1016.53,23.27,55.36,24.25,2.289,29.964,15.0,0
15,150,718.23,21.02,42.43,48.74,3.147,29.549,15.0,4
23,39,6.69,22.14,22.68,94.46,2.771,26.939,0.0005,0
4,207,6.09,15.27,15.99,97.85,2.562,29.391,0.1751,2
21,244,12.74,17.37,16.55,96.78,4.007,29.06,0.0095,0
21,327,18.91,23.74,23.98,96.48,4.422,28.442,0.3284,0
8,3,276.1,30.4,37.18,55.54,0.747,29.768,15.0,2
12,23,575.61,30.01,47.3,40.66,1.863,31.01,15.0,2
18,151,253.52,19.72,27.93,74.24,0.639,30.154,14.5987,2
2,315,0.0,23.91,24.39,93.3,1.038,28.721,0.3514,4
16,338,311.48,28.57,39.01,54.43,4.162,29.962,6.4916,4
15,144,717.12,24.95,46.65,41.77,3.289,29.139,15.0,0
22,211,0.0,13.52,13.52,95.09,3.845,3.741,0.0,1
7,147,376.82,19.13,31.12,65.72,5.552,28.728,15.0,0
8,201,548.83,24.84,41.23,52.54,0.745,27.413,15.0,0
9,64,479.93,29.19,43.95,52.69,0.364,30.486,15.0,2
2,356,1.08,24.74,23.75,96.71,1.395,27.882,0.0,4
8,308,339.39,25.64,35.91,55.24,0.689,29.052,15.0,2
8,258,425.38,27.21,40.8,57.22,1.342,29.836,10.1258,4
19,44,13.19,26.99,27.42,86.88,3.24,28.04,1.5613,2
8,282,346.97,26.17,39.3,55.43,4.457,30.122,15.0,2
18,304,140.13,24.8,28.96,76.17,5.533,29.529,8.5817,2
20,65,0.0,23.5,23.52,92.64,1.866,15.405,0.89,3
18,81,187.87,22.71,29.05,77.99,4.658,27.83,4.4888,4
8,272,383.05,26.06,38.19,54.69,2.049,27.602,15.0,2
7,262,291.76,24.39,33.23,67.13,2.956,29.632,15.0,2
9,250,556.4,25.94,45.65,47.32,3.385,30.122,13.7148,4
15,62,487.19,27.41,41.65,50.04,1.689,30.295,11.2723,4
9,250,627.33,26.27,44.68,43.45,2.646,30.765,14.4199,4
23,321,9.52,20.09,20.54,90.98,2.312,29.42,0.2998,2
23,244,10.9,13.94,13.06,93.44,4.236,16.015,0.0362,3
20,270,21.18,23.23,23.32,96.08,2.156,28.2,0.3249,2
3,257,20.12,20.32,20.33,92.87,0.407,28.013,0.0,2
5,175,7.71,16.66,16.01,92.2,1.939,17.226,0.018,3
2,190,45.7,13.57,15.52,96.68,2.765,29.514,0.977,4
14,42,536.18,29.71,47.17,43.55,1.426,31.265,11.9872,4
13,309,596.12,30.68,50.39,37.04,4.312,28.474,14.169,4
16,155,527.19,19.22,35.75,53.91,5.286,29.623,13.6961,4
16,271,389.1,27.13,40.55,55.75,2.94,30.559,15.0,2
12,125,941.49,22.23,51.32,32.27,1.74,29.74,15.0,2
15,183,744.83,19.45,43.16,44.26,3.302,3.777,15.0,1
8,273,367.35,25.35,37.24,57.5,4.458,30.815,15.0,2
21,51,15.04,22.51,23.22,96.03,0.772,29.844,1.5843,2
3,237,10.59,16.28,16.27,94.73,1.258,30.354,0.2084,2
11,252,804.98,25.05,51.11,35.2,3.519,29.269,15.0,4
8,337,291.04,30.14,39.64,54.4,2.397,30.155,10.5752,0
22,241,15.98,18.53,19.75,93.08,3.049,27.955,0.0,4
21,153,0.0,12.88,13.43,98.27,2.595,17.955,0.0,3
21,54,3.43,20.85,21.24,93.84,3.149,15.29,0.4347,3
7,40,223.05,27.48,35.63,69.03,2.432,28.125,13.2415,2
4,129,0.0,14.9,14.84,90.79,0.711,28.967,0.2314,4
11,361,488.45,35.11,50.53,40.89,2.809,29.128,11.3506,4
6,252,182.84,21.64,27.34,78.63,2.431,18.262,7.0752,3
18,114,220.01,22.95,30.19,77.15,1.724,16.762,8.4865,3
4,194,8.21,13.5,13.99,86.67,0.973,28.121,0.9203,2
11,297,638.06,31.86,52.8,38.06,4.59,31.028,15.0,2
18,164,272.78,16.84,25.17,75.19,3.391,29.55,15.0,2
7,309,217.1,24.46,31.79,66.11,1.442,28.8,13.294,2
10,331,465.07,31.55,45.66,42.96,4.74,29.377,15.0,2
21,28,32.61,22.27,23.13,89.47,1.306,27.182,0.1674,0
7,182,397.42,18.84,30.43,62.51,0.451,28.177,15.0,2
8,293,375.6,28.2,38.86,59.72,1.816,29.387,9.0108,4
9,266,501.22,26.13,42.22,41.76,1.69,30.798,11.6181,4
19,133,0.0,19.61,19.38,92.34,3.721,29.944,0.0,2
23,205,0.0,12.6,12.37,97.65,3.75,29.519,0.1348,0
13,327,558.9,34.46,50.52,37.11,0.93,29.571,15.0,0
2,49,6.8,20.41,20.07,96.34,2.734,27.975,0.0173,4
14,288,572.75,31.32,49.3,41.85,3.097,30.4,13.1429,4
14,348,443.64,32.42,45.62,38.75,1.379,30.616,10.9277,4
0,206,23.53,15.61,16.13,92.32,2.267,5.806,0.3106,1
0,234,0.0,19.75,19.74,98.4,0.961,29.104,0.2818,4
23,25,44.95,23.69,25.48,93.39,3.07,26.515,1.6589,4
11,333,517.03,33.09,49.75,39.68,1.302,27.3,13.3807,4
12,333,518.15,31.01,45.93,36.66,2.46,31.335,12.0642,4
19,241,12.88,19.46,20.83,87.66,2.792,2.833,0.0,1
17,117,333.81,21.14,31.68,65.49,2.864,28.891,15.0,2
11,70,705.86,29.83,52.53,32.55,2.163,30.564,15.0,4
1,2,1.29,24.05,23.18,96.32,1.623,29.327,0.0,4
4,97,3.84,16.49,15.45,94.92,2.791,28.627,0.2742,4
8,358,250.34,32.08,41.02,53.91,1.87,29.767,14.7025,2
13,308,558.23,32.87,51.42,39.39,1.459,30.329,15.0,2
7,183,366.74,20.75,33.0,60.81,1.293,30.088,15.0,2
18,312,121.65,25.72,30.92,77.92,2.422,29.828,2.3781,4
14,145,855.88,25.07,51.4,36.34,1.408,31.202,15.0,4
16,358,267.61,30.47,39.47,55.7,2.12,30.545,15.0,2
11,66,708.31,32.54,54.23,31.67,0.933,3.915,15.0,1
23,267,11.32,15.68,15.43,87.92,2.538,27.843,1.065,2
21,13,0.0,25.91,26.94,97.47,1.241,28.628,0.0232,0
11,112,883.32,25.11,52.14,29.72,2.469,19.591,15.0,3
1,141,6.83,14.04,13.21,89.05,1.308,28.194,0.0871,0
3,171,11.62,12.95,13.3,96.46,1.843,28.843,0.2469,2
7,157,369.76,20.08,31.51,62.95,1.689,29.022,15.0,0
23,306,8.32,19.78,19.54,96.21,3.35,29.48,0.0,4
9,183,707.15,19.07,41.04,43.47,3.818,21.459,15.0,3
16,265,418.34,26.43,39.91,53.96,3.087,29.593,15.0,2
18,242,218.63,21.63,27.8,77.19,5.509,30.126,8.9602,0
17,131,389.01,19.19,31.34,62.74,2.793,29.759,8.9911,4
20,307,17.97,25.04,25.94,100.0,3.058,28.088,1.1986,2
3,16,22.86,23.86,24.6,96.72,3.596,29.684,0.3459,2
21,290,8.03,23.06,22.6,98.82,0.499,27.28,0.572,2
4,205,22.77,14.02,14.21,100.0,5.743,27.269,0.0,4
16,340,287.37,31.36,40.3,62.11,3.708,3.926,8.0643,1
6,20,119.48,25.68,29.44,81.45,5.24,30.506,7.0331,2
20,291,0.0,22.33,22.62,97.12,1.442,29.082,0.0,2
17,94,308.45,22.15,32.14,67.29,0.936,18.054,12.6349,3
15,314,406.62,31.89,43.89,48.03,2.413,29.709,15.0,2
3,81,18.67,18.8,18.12,89.35,3.759,29.595,0.9639,2
22,328,44.02,20.37,21.3,95.3,3.286,29.004,1.8286,2
18,70,162.51,25.75,31.64,78.01,3.419,27.922,4.3256,4
15,129,663.65,21.1,42.18,44.63,1.13,3.05,15.0,1
15,162,737.28,20.49,43.49,45.44,2.715,30.455,15.0,2
5,186,4.63,16.93,16.83,90.41,2.532,29.397,0.1927,0
21,103,9.6,15.35,14.54,97.1,0.857,27.59,0.4068,4
22,64,0.0,19.08,18.69,97.02,1.615,29.672,0.0,4
