hour,day_of_year,irradiance_W_m2,ambient_temp_C,panel_temp_C,humidity_percent,wind_speed_m_s,power_W
1,151,0.0,11.69,12.61,94.72,3.822,0.0
7,53,249.87,26.9,34.75,67.52,3.082,431.27
15,44,443.38,31.17,44.14,45.89,2.927,728.69
15,303,426.59,29.75,42.34,47.99,0.559,710.32
14,301,518.99,32.2,48.55,40.94,3.273,830.28
5,58,16.22,25.42,27.31,87.81,4.591,28.79
15,23,388.06,28.8,40.41,47.75,3.587,462.32
0,38,10.08,20.59,21.02,100.0,2.35,0.0
16,248,405.68,26.91,39.73,63.44,1.841,688.9
0,292,0.0,21.54,22.07,96.97,3.125,1.05
5,363,15.96,25.3,25.83,93.96,1.445,15.06
3,248,0.73,17.67,17.22,92.83,2.419,0.0
12,323,550.4,34.54,52.8,39.94,2.218,906.58
9,265,550.33,27.46,44.53,51.14,1.891,372.65
12,68,762.9,31.67,53.76,32.76,4.051,1204.76
12,160,1017.58,22.74,53.92,28.34,3.396,1088.64
23,323,0.0,22.53,22.22,95.39,1.991,19.77
13,135,973.78,26.94,58.61,26.33,0.983,1501.2
12,153,1047.62,24.75,56.81,26.23,2.088,1636.01
3,79,2.32,19.51,20.02,99.46,2.814,4.76
12,257,785.52,29.03,54.19,27.51,0.809,503.43
21,3,7.44,26.59,27.12,91.36,3.074,0.59
11,126,919.23,23.14,52.41,30.62,0.174,1486.43
17,315,202.56,29.89,35.8,66.53,5.851,352.22
0,260,0.0,20.07,20.17,95.86,3.604,0.69
4,101,0.0,18.06,19.21,99.58,1.893,20.24
8,163,548.86,20.76,37.72,58.0,3.21,589.9
6,321,129.41,26.14,29.42,82.84,2.349,120.41
3,309,7.43,22.66,21.35,94.84,1.945,4.93
12,184,1038.45,22.93,55.89,30.69,1.587,1139.6
3,153,42.95,14.27,14.81,95.72,6.157,32.33
22,328,44.02,20.37,21.3,95.3,3.286,54.21
14,74,685.11,28.27,49.27,33.12,1.899,470.19
19,92,0.0,20.49,21.12,81.06,1.134,9.87
0,347,25.91,24.52,25.53,93.69,1.162,24.37
12,61,692.11,31.09,52.68,36.07,1.951,1115.26
12,80,798.55,26.32,50.82,35.47,4.1,1297.64
3,151,0.0,14.09,13.75,99.38,3.991,0.89
0,187,1.21,14.08,13.4,95.54,5.402,3.58
23,9,0.28,22.87,23.84,94.03,3.651,0.0
19,263,3.31,19.68,20.14,89.59,2.682,16.8
8,163,551.13,22.77,39.58,48.09,1.66,376.66
10,238,763.67,25.91,49.6,40.85,2.83,1253.74
11,79,728.81,27.98,50.74,38.14,2.58,806.62
17,251,301.34,22.86,31.96,73.77,2.233,478.41
10,207,845.95,23.34,50.35,34.95,0.64,921.01
2,163,0.55,10.52,10.22,92.5,2.708,2.7
7,4,209.54,30.46,36.01,69.34,2.431,331.51
23,354,11.23,23.55,24.05,94.8,0.898,13.39
15,349,335.76,34.19,44.04,56.11,4.565,374.73
9,145,703.77,25.13,48.33,42.89,2.784,1164.0
1,167,19.42,14.57,14.88,92.72,0.998,7.92
18,274,162.81,23.48,28.48,75.55,2.283,106.14
19,128,0.0,17.22,17.31,92.5,6.541,0.0
4,155,3.18,14.98,12.2,96.59,3.976,23.57
7,202,332.8,18.38,27.8,70.97,4.097,610.63
23,140,10.77,10.18,11.69,96.51,3.548,11.54
18,286,166.86,23.56,28.29,77.24,0.482,308.04
23,87,7.39,13.84,14.6,99.55,3.47,0.0
1,122,29.47,19.76,20.55,95.69,4.954,21.73
13,130,916.82,23.08,51.92,26.16,0.968,1504.56
19,125,3.9,18.23,17.99,92.82,1.747,6.9
12,83,826.5,29.74,55.27,30.4,5.262,1305.86
17,133,379.13,22.5,33.37,66.71,2.28,628.83
23,25,8.52,21.63,20.86,97.73,3.831,0.35
19,348,0.0,27.28,27.07,90.25,0.853,6.78
5,278,0.0,24.46,24.69,93.43,2.198,7.82
6,309,168.36,28.05,32.58,84.29,3.876,293.84
7,168,387.07,18.61,31.3,69.25,3.532,250.57
1,210,0.0,13.69,13.19,94.98,1.967,10.11
23,57,0.09,18.79,18.56,94.49,7.316,0.0
11,177,999.32,23.53,56.41,33.69,1.61,680.03
13,3,552.93,31.67,47.36,41.25,1.797,570.73
7,291,252.52,26.86,33.25,69.66,3.18,294.96
23,269,0.0,18.34,18.56,94.36,2.802,12.41
18,258,202.98,20.86,27.58,75.78,3.032,355.71
16,88,414.76,22.82,36.3,60.79,0.892,461.07
22,194,1.65,15.7,16.36,92.83,2.088,0.0
6,336,136.13,29.76,34.19,78.95,1.229,97.84
5,335,8.36,27.15,27.52,87.17,1.652,21.29
5,148,0.0,18.88,18.6,87.86,1.182,0.0
18,317,153.42,26.1,30.79,75.72,1.496,247.27
1,141,0.0,14.06,13.41,99.85,2.501,2.5
6,132,217.37,22.4,28.2,73.89,3.127,172.39
18,102,209.55,19.06,25.28,72.58,5.07,398.52
5,202,23.98,17.86,17.49,88.19,0.847,9.68
18,151,253.52,19.72,27.93,74.24,0.639,443.05
1,136,0.0,15.35,16.11,94.01,5.37,3.62
5,325,7.65,27.13,28.36,85.79,2.199,26.59
3,213,0.0,17.04,17.08,96.16,3.838,0.0
10,7,461.66,34.19,48.34,40.26,4.291,109.25
3,333,0.89,21.47,21.97,91.5,3.426,0.0
12,40,611.31,31.65,51.17,31.27,2.017,418.44
3,233,2.6,13.78,15.66,93.08,2.566,0.0
0,344,7.15,24.75,25.15,94.61,4.253,14.66
22,138,10.02,13.02,13.3,92.71,2.019,0.0
20,255,0.0,18.26,19.24,93.03,1.353,4.32
6,269,184.01,22.74,28.55,78.64,2.703,302.17
13,100,855.25,28.29,55.41,35.67,0.053,1341.52
10,269,640.5,28.59,48.05,42.95,6.351,1056.09
16,256,427.2,24.83,37.31,53.42,1.657,311.11
18,217,217.61,19.41,27.24,76.21,3.892,413.09
23,137,21.66,12.14,12.43,98.34,2.691,0.0
6,167,208.8,16.97,22.78,76.01,1.881,418.74
9,267,544.31,28.88,46.31,47.88,3.573,879.8
5,111,6.37,19.64,20.01,83.6,2.148,9.03
4,272,0.0,18.69,19.2,96.78,1.605,0.0
13,278,699.88,30.96,53.36,37.95,2.052,1124.85
8,317,270.42,29.34,38.1,59.44,0.792,57.0
15,233,619.36,23.97,45.07,43.78,4.368,730.75
4,34,23.79,22.34,21.84,93.0,1.881,29.26
18,69,178.57,24.1,29.65,76.74,2.789,127.5
21,34,0.0,24.59,24.22,92.58,2.748,0.0
5,132,15.97,17.08,16.69,93.13,3.906,4.7
23,81,0.0,15.87,14.66,90.86,5.456,9.07
23,71,16.38,19.6,18.86,96.0,3.85,0.0
3,122,41.34,13.11,14.54,91.83,2.1,56.82
8,76,428.63,27.11,39.94,63.66,2.623,306.21
23,234,5.14,15.39,15.62,96.77,2.347,36.04
0,364,0.0,25.09,26.12,96.86,3.077,5.22
12,199,1019.95,22.32,53.39,30.63,1.679,654.26
5,187,0.0,20.34,20.17,92.31,4.697,0.0
7,25,206.63,27.66,35.06,69.21,3.506,42.94
16,81,424.5,24.85,37.49,54.83,2.646,297.89
10,29,486.33,30.94,45.93,41.42,1.573,542.0
16,295,334.64,28.84,39.75,56.93,1.087,239.64
21,273,17.26,17.82,18.78,96.92,0.131,6.97
10,194,869.25,25.54,52.86,33.95,4.233,1377.65
7,62,235.78,29.44,37.48,67.23,1.976,177.28
18,219,235.16,20.06,25.68,78.65,3.224,395.06
21,101,0.0,18.2,16.99,93.54,4.157,9.1
21,332,0.45,24.17,25.45,94.34,0.674,14.12
3,11,0.39,24.05,24.27,92.71,4.967,27.94
21,46,5.86,22.33,22.28,93.73,1.292,3.4
7,149,381.78,18.54,29.68,67.92,1.889,657.6
13,316,545.95,32.57,50.51,32.4,1.244,881.03
0,165,0.0,15.64,16.56,94.28,2.491,15.8
0,228,0.0,15.43,16.06,100.0,4.353,7.29
9,264,520.72,26.48,42.67,48.9,2.293,385.2
8,363,260.02,30.25,39.22,55.88,2.08,474.8
2,353,8.89,25.31,25.89,95.46,1.63,19.29
4,108,18.51,16.76,16.76,93.79,2.611,27.28
17,36,227.11,30.14,37.42,69.59,4.813,165.18
15,232,649.98,26.0,46.88,46.21,4.898,1062.31
20,220,0.0,17.71,17.29,95.27,6.193,4.85
15,115,626.38,23.55,42.76,47.9,4.626,723.7
4,251,12.25,16.95,17.43,89.82,4.777,15.75
18,110,199.46,22.23,28.21,78.08,5.668,361.9
3,81,18.67,18.8,18.12,89.35,3.759,27.07
20,110,0.0,18.86,18.89,97.51,2.156,0.0
17,186,383.42,17.84,28.92,67.51,2.7,656.87
20,257,17.96,21.85,21.97,95.79,4.139,13.06
5,208,27.66,16.2,15.91,89.17,2.206,9.67
4,330,0.0,24.72,24.6,97.94,2.483,0.0
0,193,0.0,11.92,13.7,96.69,4.338,0.0
16,201,554.93,20.95,39.65,56.46,3.191,954.1
2,140,3.08,16.13,14.97,95.19,2.928,8.96
14,309,505.07,30.65,46.8,39.3,0.677,838.75
16,190,539.46,23.22,40.44,53.89,0.982,615.31
10,157,887.77,20.61,49.18,37.62,1.223,1423.58
13,170,985.89,23.81,54.32,33.95,3.308,1055.81
9,65,481.15,29.83,46.44,41.42,4.206,319.33
23,117,0.0,13.5,12.57,89.77,2.939,6.24
23,104,39.32,15.84,16.5,94.04,5.937,31.25
17,107,333.68,20.97,29.9,68.41,3.208,217.44
15,69,504.55,27.04,43.7,42.71,2.489,832.82
2,57,6.77,22.3,23.78,92.85,5.135,6.71
5,219,3.9,17.59,18.67,81.5,1.381,20.27
0,66,17.16,20.92,21.19,94.17,1.851,8.61
6,279,139.9,24.46,28.34,79.35,2.323,247.66
8,42,345.28,31.25,42.26,53.93,2.12,584.05
19,10,0.0,24.52,24.94,86.41,2.053,12.89
22,265,31.15,19.53,18.96,94.09,2.889,19.54
10,322,455.89,32.57,47.15,39.32,3.563,776.67
17,82,293.21,26.97,34.97,69.19,0.93,184.77
21,298,0.0,22.05,22.02,96.02,2.181,13.53
20,343,32.49,25.49,25.4,94.59,6.676,64.02
15,136,687.62,21.61,44.4,46.39,1.833,495.51
2,275,6.39,19.38,19.83,91.93,0.78,0.99
14,264,692.83,25.47,48.22,42.98,6.479,1147.58
11,61,687.72,30.13,52.41,41.15,1.651,458.85
7,99,318.48,24.63,35.76,66.64,1.538,235.62
20,200,3.9,13.63,13.0,98.19,5.255,13.89
0,76,9.45,20.27,20.78,91.4,2.055,0.0
14,50,562.53,29.94,48.49,41.28,2.373,925.05
5,173,18.19,17.63,18.03,90.68,5.026,4.12
14,291,570.3,31.84,49.94,39.03,1.553,929.07
17,245,313.67,22.18,31.41,64.43,1.975,237.85
2,72,5.99,20.76,21.36,94.51,3.665,0.0
21,191,15.06,14.02,14.55,89.61,2.3,0.0
15,319,399.56,32.02,44.84,45.63,1.822,656.5
23,140,0.0,14.19,15.44,94.1,2.109,4.79
12,79,800.51,31.21,55.6,33.96,2.922,1289.74
6,220,219.91,24.25,31.53,77.81,1.926,156.31
6,76,165.81,24.95,30.99,77.65,2.488,305.5
6,237,206.72,22.05,28.04,80.21,1.162,333.6
10,73,607.4,28.48,47.08,39.93,4.068,114.26
6,117,209.51,19.1,25.75,73.43,3.096,147.22
21,200,8.81,13.97,14.21,95.36,5.139,3.5
16,46,347.07,25.52,36.23,55.33,2.042,241.56
18,298,140.27,26.36,31.29,73.58,1.905,96.96
4,274,11.36,21.11,22.66,96.33,0.7,39.3
15,113,608.31,23.81,43.82,45.53,1.206,1041.94
2,183,0.0,15.88,16.13,95.55,2.921,6.12
0,53,0.0,23.79,24.36,94.03,1.102,14.48
7,17,210.51,28.51,35.23,63.34,4.041,364.12
4,161,0.0,9.79,10.66,97.72,1.826,17.99
14,357,440.92,33.8,47.36,43.51,5.157,290.71
17,290,240.71,24.74,32.92,67.65,1.925,435.82
17,34,216.2,29.03,35.52,71.39,4.23,348.57
14,219,807.89,23.55,49.91,36.34,1.478,898.54
12,300,603.0,32.13,51.11,34.61,0.34,433.99
5,29,3.57,24.69,25.8,87.29,0.865,18.88
2,183,0.0,15.26,14.52,99.34,1.698,1.53
0,211,33.31,16.01,17.21,91.8,4.349,109.7
16,190,528.99,22.62,40.2,61.33,3.089,111.41
19,170,0.0,19.77,19.02,86.42,2.482,15.56
7,286,264.05,27.95,36.27,64.57,3.145,177.96
10,299,540.98,30.97,47.68,43.19,2.804,368.75
3,198,11.27,15.18,15.29,92.81,1.754,0.0
9,214,681.31,25.08,47.81,43.65,4.892,1127.76
8,72,411.37,25.2,37.5,61.25,3.671,660.05
10,12,445.61,33.04,47.34,44.32,1.512,86.34
14,159,887.47,23.11,50.13,40.03,2.566,1417.47
1,6,11.57,24.39,24.51,92.48,5.947,25.28
20,338,15.29,25.29,26.43,89.94,2.565,35.62
11,116,918.63,23.54,52.67,34.01,6.789,1455.65
6,254,194.01,23.03,29.34,71.88,4.197,138.15
3,161,4.98,14.65,14.12,95.73,3.373,0.0
0,323,14.95,22.23,21.5,95.7,5.407,8.48
3,72,0.96,18.81,18.24,91.01,4.146,0.0
7,236,323.86,25.1,35.89,61.59,4.577,256.07
4,357,0.0,21.64,21.45,100.0,1.408,11.01
2,297,0.0,23.03,22.68,100.0,1.584,17.77
1,15,5.15,23.74,25.03,96.93,1.631,5.71
7,322,233.98,29.39,35.45,63.52,1.22,384.23
1,160,2.78,15.75,15.56,93.58,3.609,2.33
8,151,537.7,21.99,39.62,52.84,1.669,379.03
12,233,922.41,26.27,55.44,30.26,2.557,1439.2
16,86,408.95,26.65,39.33,55.58,1.43,292.84
1,55,3.3,20.71,20.48,97.18,3.457,1.21
3,316,8.08,24.7,23.44,90.6,3.024,0.0
5,33,0.0,26.19,25.99,85.26,5.429,2.47
16,16,282.53,30.53,38.83,61.38,3.169,488.65
19,210,0.0,18.47,19.21,88.71,2.386,7.47
13,236,856.02,26.92,55.39,33.57,2.98,572.62
2,344,0.4,25.16,24.57,95.24,2.772,1.25
23,262,0.0,18.65,17.98,97.9,3.088,0.0
17,17,214.73,29.28,35.64,65.68,2.594,156.18
19,133,0.0,19.61,19.38,92.34,3.721,0.0
22,17,0.0,20.89,20.86,97.26,2.035,0.0
4,186,0.0,14.11,13.17,92.09,6.173,0.0
21,45,3.65,21.33,21.94,96.09,3.596,0.43
17,10,192.65,31.11,37.73,69.88,0.921,229.85
7,64,246.44,26.6,35.08,64.64,0.238,418.74
1,120,0.09,18.55,18.87,89.13,2.474,0.0
20,252,13.15,18.65,18.56,94.09,0.743,0.0
5,85,0.0,19.06,17.81,88.08,3.152,0.0
12,49,654.42,29.36,48.4,33.36,3.785,1042.9
10,140,885.47,24.84,51.71,35.59,3.175,960.35
8,263,419.88,27.66,40.06,53.47,7.812,284.52
9,114,613.91,27.08,47.45,45.8,0.398,451.33
23,360,7.98,25.26,25.82,96.51,2.032,0.0
5,31,2.83,28.12,28.71,88.25,1.113,0.0
21,266,10.25,20.34,20.37,95.11,3.006,31.65
7,17,205.06,28.73,34.93,76.61,2.848,218.19
18,53,145.68,24.14,29.42,78.15,1.462,260.07
22,292,1.58,21.49,22.8,100.0,3.673,0.0
6,160,203.81,18.84,25.35,71.95,0.489,133.9
12,355,493.42,35.93,52.9,41.25,2.492,805.18
12,336,551.87,32.7,49.51,32.78,1.767,886.85
21,337,6.57,26.94,27.06,96.27,2.983,32.91
14,261,687.84,29.39,51.31,41.99,1.028,481.84
21,273,30.93,20.6,20.05,93.34,3.764,13.78
20,310,0.0,26.9,26.75,95.04,2.316,0.0
8,356,261.96,31.86,39.04,60.74,3.809,183.36
17,44,253.51,26.62,34.62,72.42,2.918,178.91
0,241,22.8,18.46,17.54,94.3,5.87,25.76
3,162,0.0,13.78,12.56,90.9,1.383,21.33
2,281,21.44,19.04,21.0,90.93,4.555,29.47
7,275,277.55,25.07,34.38,65.74,5.257,465.32
16,341,283.72,31.69,40.4,63.13,3.75,493.09
21,89,18.14,20.81,20.74,97.54,1.195,38.67
4,118,4.3,17.09,16.63,94.34,7.283,0.0
20,216,15.54,19.23,18.21,93.71,1.45,14.04
12,17,587.53,31.53,50.56,36.47,7.362,650.44
11,313,592.03,35.95,53.5,39.9,0.434,664.81
8,225,491.39,24.85,40.52,59.94,3.391,333.54
12,246,833.42,26.86,53.71,33.03,2.236,1364.56
19,328,3.59,28.34,29.23,87.71,0.589,10.46
7,143,354.18,22.3,32.89,62.62,1.845,609.4
4,167,27.69,14.52,15.66,89.32,0.236,45.0
15,27,386.02,26.76,40.31,51.28,4.397,51.63
15,139,731.0,24.28,45.96,42.66,4.011,799.4
7,236,306.12,22.34,30.95,65.15,2.059,383.19
17,117,342.2,20.25,30.8,63.85,5.464,63.04
11,304,621.13,31.77,51.33,37.77,2.924,987.9
20,147,0.0,13.65,14.18,92.48,2.214,6.85
5,312,3.73,25.37,25.77,89.86,4.683,16.72
13,49,611.19,28.31,47.5,36.31,1.637,967.15
10,126,811.42,21.81,47.36,39.1,1.727,1322.92
23,265,0.0,17.71,17.15,96.55,0.864,1.25
15,292,462.13,28.29,42.15,47.22,2.135,764.79
17,243,319.97,24.92,35.93,66.49,0.841,213.06
12,248,872.6,28.82,56.19,35.16,3.45,1361.19
22,225,0.0,17.19,17.03,91.63,5.866,0.49
4,364,0.0,21.65,21.63,89.42,3.975,16.04
0,266,0.0,18.97,18.74,93.37,4.084,10.89
12,117,948.38,24.99,55.71,28.6,0.91,1495.03
4,104,4.85,19.65,21.51,100.0,2.876,1.59
4,357,13.97,24.41,26.52,95.48,6.104,28.38
21,16,0.0,24.2,25.71,97.01,3.419,9.72
10,30,474.64,32.89,48.03,44.72,1.764,774.89
20,154,0.0,15.55,14.39,91.67,1.597,0.0
0,109,41.94,16.76,19.38,96.23,3.109,29.64
15,263,520.58,23.57,40.29,49.36,1.413,882.95
6,70,163.74,22.7,28.3,76.98,0.776,294.86
13,146,990.65,20.73,51.19,35.32,2.292,1593.68
3,176,0.0,14.56,14.37,96.62,2.153,16.32
20,150,0.0,18.19,17.75,100.0,3.345,7.73
9,267,512.45,27.2,43.6,49.89,2.218,851.05
8,311,314.59,29.51,38.96,59.5,2.053,509.93
11,211,910.01,24.69,52.57,35.9,1.623,1468.36
20,341,33.93,23.48,25.18,97.85,4.009,46.59
17,174,369.39,17.94,27.87,67.16,6.06,694.01
11,293,622.11,31.39,50.47,39.74,1.937,988.65
19,272,0.0,22.25,23.75,89.62,5.979,11.75
6,270,173.7,23.92,28.69,79.93,4.85,300.55
11,33,597.53,33.55,51.4,40.64,4.494,957.84
22,99,0.0,18.51,18.89,99.34,3.985,19.8
2,76,10.7,22.59,22.28,95.02,2.702,39.12
9,266,501.22,26.13,42.22,41.76,1.69,360.11
12,167,1046.73,22.08,53.02,24.36,3.619,1652.02
7,160,361.01,18.88,31.39,61.28,1.39,654.07
13,341,500.4,31.44,47.89,39.65,2.521,333.77
4,281,0.0,17.18,16.62,95.57,2.929,4.94
20,50,0.0,24.83,22.82,93.57,5.259,0.0
16,278,363.23,26.86,37.7,54.22,2.87,284.16
15,9,355.24,32.24,44.7,54.22,2.084,604.4
6,288,141.67,24.57,28.29,86.04,3.165,267.51
2,284,10.79,21.04,21.87,93.07,5.611,0.0
17,220,358.23,20.28,31.54,62.63,1.989,612.57
22,307,5.54,20.15,22.11,94.04,4.216,5.82
19,23,8.38,24.46,23.96,86.73,2.876,29.64
12,175,1038.64,21.03,53.36,23.68,2.831,1648.84
12,232,911.58,25.34,53.99,32.89,4.215,1461.49
6,98,188.25,18.82,25.67,77.91,0.682,381.46
10,144,849.15,24.37,49.75,38.87,3.754,563.22
7,243,347.44,23.02,33.85,64.5,4.072,593.93
8,217,490.11,21.53,36.82,54.25,4.569,844.95
10,144,863.68,23.38,50.45,37.04,1.971,1403.29
5,26,23.26,25.86,25.39,94.39,0.25,28.5
23,148,0.0,11.73,11.75,96.99,1.969,8.52
1,149,9.62,12.74,13.2,90.32,4.253,11.6
22,230,6.48,17.11,16.01,93.97,0.458,21.47
20,1,0.0,24.15,24.77,88.69,1.577,0.0
19,144,1.01,17.03,15.88,86.05,1.989,10.86
7,246,309.8,20.08,28.94,66.68,2.162,573.71
2,253,8.05,20.76,21.62,86.98,2.014,2.96
21,244,12.74,17.37,16.55,96.78,4.007,0.0
19,286,2.49,22.71,23.07,88.58,2.791,18.9
14,14,438.96,29.82,44.01,39.4,6.792,295.52
3,204,0.0,17.6,17.06,95.77,2.531,8.78
4,202,15.11,15.78,16.43,99.85,4.278,0.0
6,132,248.59,18.28,25.21,78.77,1.978,207.86
11,189,988.44,22.67,54.14,33.08,2.658,633.74
20,119,7.86,20.26,20.12,97.53,2.201,4.71
16,286,347.48,29.07,39.97,59.84,3.639,399.08
11,213,990.43,23.75,56.4,38.11,5.303,172.79
8,152,514.86,21.6,37.5,56.77,1.198,859.79
4,289,0.0,22.36,23.4,96.53,0.214,1.49
4,257,0.0,19.11,18.01,94.51,1.88,0.0
19,224,0.0,18.06,18.3,90.31,4.811,9.09
4,129,1.0,16.23,15.3,100.0,4.63,0.0
23,5,0.0,23.79,23.04,92.21,0.981,16.79
12,356,513.61,34.54,50.59,39.81,4.25,364.3
10,146,881.37,21.27,48.92,38.38,1.241,624.36
19,361,11.97,27.3,27.03,87.22,1.114,1.01
6,330,150.21,28.29,33.7,77.4,4.084,261.36
20,21,0.0,25.22,24.97,97.76,2.892,0.0
18,313,140.59,27.86,31.93,78.08,0.618,221.03
17,24,216.92,29.55,36.38,67.88,1.39,261.4
10,151,882.37,24.72,52.4,36.2,3.465,1394.26
0,69,0.0,21.93,21.9,100.0,1.119,6.57
20,364,3.28,27.92,27.05,94.66,1.929,2.0
11,274,707.18,26.34,48.24,33.15,1.893,1144.04
0,103,9.69,19.21,19.31,89.52,1.736,16.58
11,242,839.07,24.82,49.0,35.71,3.301,1342.86
0,348,5.87,22.41,21.21,92.6,5.356,9.75
0,23,0.0,22.26,23.13,95.59,1.412,2.58
15,350,358.8,31.38,42.45,50.63,1.802,212.52
13,331,508.03,34.83,51.34,38.98,1.382,344.75
12,212,988.95,24.96,56.19,34.98,4.4,1043.57
9,164,700.78,22.51,44.54,46.47,2.685,514.98
21,330,0.0,23.8,22.9,97.13,3.273,18.61
10,225,799.41,25.75,51.81,37.94,2.604,1277.75
6,303,152.78,26.04,30.04,77.28,2.257,126.55
21,319,0.0,23.58,25.18,92.84,1.722,0.0
20,79,4.05,21.95,22.17,93.71,5.54,12.05
4,307,0.0,23.19,23.74,95.52,4.939,21.23
2,146,0.0,13.06,12.52,96.16,1.879,5.99
7,276,247.67,23.91,32.63,69.52,3.379,169.95
20,159,0.0,15.0,14.48,94.88,4.21,0.0
21,120,22.4,15.98,16.38,94.39,1.915,13.97
17,239,311.41,24.18,32.46,59.73,0.845,542.36
19,332,10.83,23.69,24.94,90.42,3.152,0.0
10,246,726.61,26.78,50.06,37.9,3.423,489.07
18,253,171.95,22.67,28.52,80.08,1.05,214.82
5,208,0.0,17.82,17.85,90.13,0.874,6.0
7,202,372.46,23.09,35.98,64.44,1.761,56.68
23,76,0.0,18.62,18.73,94.52,1.143,2.66
17,5,197.62,28.94,35.68,64.79,2.931,143.76
13,308,558.23,32.87,51.42,39.39,1.459,890.15
14,117,782.78,26.16,50.97,39.44,4.692,1281.74
15,305,436.71,32.26,46.53,51.64,2.586,683.67
13,59,679.84,29.63,51.33,38.59,0.5,413.88
6,19,141.99,29.62,34.07,76.52,4.755,267.67
19,244,0.0,21.17,20.37,89.22,2.725,22.4
8,194,551.88,19.96,37.86,54.46,1.807,919.8
5,195,0.0,17.32,17.71,92.2,4.389,0.0
21,62,8.49,17.73,16.89,94.22,1.68,2.1
0,30,1.77,23.46,23.87,94.35,1.614,21.11
6,46,145.42,25.94,30.22,80.97,3.299,204.33
2,102,0.0,17.69,15.82,97.17,2.185,0.0
1,2,1.29,24.05,23.18,96.32,1.623,0.0
7,83,312.39,22.17,31.86,65.32,1.415,527.71
12,351,517.74,34.22,49.71,34.64,2.215,577.26
4,128,11.62,15.05,15.74,94.14,4.096,3.8
4,276,4.86,19.21,19.56,92.8,0.479,3.21
18,359,112.84,27.43,31.36,79.96,2.421,220.1
16,106,454.93,23.52,38.62,56.06,1.282,554.2
9,305,411.76,28.05,40.58,48.19,5.799,672.41
13,19,508.83,33.63,50.23,36.61,2.061,588.43
14,211,862.89,22.6,46.47,38.07,1.901,1382.52
23,219,0.98,16.04,16.68,94.74,3.403,0.0
17,207,355.57,22.3,32.42,66.04,4.225,610.95
5,114,0.0,19.13,20.48,88.12,0.932,0.0
22,53,8.53,19.97,20.77,99.92,2.842,10.02
15,87,566.66,25.91,43.6,45.71,2.837,966.21
20,24,8.58,23.65,24.54,93.76,2.066,41.61
7,156,327.68,21.65,32.31,69.46,2.053,578.9
8,109,482.16,26.27,40.05,57.56,2.469,542.55
14,151,871.88,22.06,49.5,35.23,1.981,600.06
19,84,0.0,21.18,21.43,87.49,4.71,30.32
9,166,690.75,22.69,44.0,44.78,2.26,1190.68
18,159,220.56,18.72,26.02,76.1,2.272,416.77
8,283,378.56,25.06,37.68,58.14,3.441,453.4
18,26,146.25,29.91,34.71,78.65,1.694,168.34
19,281,0.0,25.44,26.25,91.29,1.456,1.01
23,199,0.0,12.66,11.96,93.4,2.202,0.0
5,113,0.0,18.69,18.22,89.69,2.25,16.29
22,209,21.05,15.71,17.07,92.53,3.661,31.94
15,126,705.49,23.38,46.3,42.38,1.538,1157.76
8,16,295.29,28.22,37.94,58.7,3.94,525.35
22,64,0.0,19.08,18.69,97.02,1.615,3.37
2,77,0.0,20.67,22.14,91.1,3.619,12.55
19,194,9.03,18.04,18.73,90.35,1.69,0.0
19,269,9.05,22.53,21.99,92.05,2.568,8.08
20,116,1.69,15.68,17.53,95.45,2.364,0.0
3,248,18.71,18.06,18.9,96.45,2.9,23.96
14,122,830.83,26.03,51.82,32.68,1.73,1346.28
3,79,19.92,17.04,17.55,90.33,1.095,0.0
12,290,690.87,29.94,51.42,35.31,2.663,1088.07
12,68,729.8,27.77,49.83,30.23,3.607,521.59
1,74,22.48,21.06,23.74,94.92,4.007,41.85
5,21,0.96,25.29,25.98,91.86,1.266,9.37
8,274,368.74,27.61,40.05,56.54,2.891,635.78
19,120,16.28,15.3,15.76,91.54,4.946,15.04
12,304,609.53,29.81,48.36,31.55,2.125,669.08
1,137,0.76,15.69,14.22,94.42,1.308,12.88
6,343,139.88,29.41,32.99,76.12,1.154,166.51
12,365,578.22,32.43,51.35,37.05,4.891,324.97
12,362,557.2,35.42,53.27,32.1,1.583,356.98
9,153,688.13,19.84,41.29,47.28,1.223,1151.58
13,334,517.91,31.09,47.61,40.25,6.579,870.56
8,316,316.89,27.6,37.86,58.14,2.28,530.68
0,306,33.29,23.55,22.74,98.07,2.513,21.72
12,359,526.42,30.73,46.38,34.38,5.839,586.42
12,95,832.63,25.75,51.8,33.73,2.694,542.67
22,156,0.0,13.93,13.92,92.15,0.578,0.1
20,235,9.94,18.26,19.48,94.55,4.424,27.14
13,88,768.46,27.52,51.17,35.29,3.334,1266.43
16,217,489.25,20.61,35.44,55.27,1.833,549.63
7,229,346.43,22.36,33.6,64.27,4.391,613.56
19,345,11.37,29.43,29.64,92.27,1.687,15.04
23,173,0.0,10.23,8.15,89.95,4.198,5.98
12,18,561.91,30.43,47.69,36.31,3.379,923.86
16,99,435.73,23.64,38.51,61.45,2.443,308.55
8,72,401.22,24.06,37.12,52.21,1.15,691.46
3,277,12.3,21.55,21.69,96.2,2.846,13.48
8,182,567.58,18.98,37.61,56.67,0.564,986.89
1,325,0.0,24.17,25.04,92.31,3.268,18.09
23,264,21.9,19.78,20.34,91.26,4.823,15.71
6,173,214.18,18.58,25.61,72.94,1.931,139.65
22,66,0.0,18.12,17.21,98.06,2.667,4.27
