hour,day_of_year,irradiance_W_m2,ambient_temp_C,panel_temp_C,humidity_percent,wind_speed_m_s,voltage_V,current_A,power_W,condition
0,76,55.7,18.02,19.04,97.16,0.308,18.2,0.9704,2.72,panel_failure
1,274,2.74,20.12,19.23,97.37,1.208,26.75,0.1472,0.0,normal
9,124,669.95,21.86,41.36,48.11,1.551,29.09,15.0,768.2,dirty_panels
12,269,752.7,28.76,54.05,34.79,2.035,31.495,15.0,1205.01,normal
11,230,879.33,27.34,54.57,36.3,3.789,30.529,15.0,575.82,partial_shading
10,35,522.73,30.86,47.37,42.98,0.736,29.629,15.0,863.35,normal
6,37,127.29,24.93,28.99,73.02,6.089,29.837,3.0207,102.75,partial_shading
1,6,11.57,24.39,24.51,92.48,5.947,28.935,0.5521,25.28,normal
0,27,0.0,22.73,22.1,94.37,1.772,29.413,0.1671,6.93,normal
2,110,10.1,16.36,16.13,94.74,2.736,29.123,0.4538,14.94,dirty_panels
16,10,282.12,31.15,40.09,59.4,1.379,29.899,15.0,458.44,normal
18,343,96.98,29.27,33.41,76.1,4.635,28.547,5.9939,172.27,normal
10,335,482.25,32.18,47.93,48.5,3.007,30.809,15.0,803.59,normal
1,64,0.0,20.33,19.42,94.69,1.102,27.588,0.0171,5.84,normal
9,114,613.91,27.08,47.45,45.8,0.398,29.971,14.9378,451.33,partial_shading
23,271,0.0,19.77,20.33,92.89,2.341,29.909,0.2179,0.0,normal
5,242,0.0,21.46,20.99,86.05,4.159,18.032,0.3854,16.62,panel_failure
11,213,922.08,24.24,53.28,31.94,1.201,30.219,15.0,1003.6,dirty_panels
12,362,563.19,31.45,49.31,36.72,2.105,19.647,15.0,355.93,panel_failure
7,230,324.75,23.59,33.62,65.88,2.402,30.859,8.1887,252.75,partial_shading
10,245,730.16,26.08,49.4,43.63,4.216,30.411,15.0,1194.88,normal
11,184,991.52,22.09,52.68,30.82,1.763,3.173,15.0,156.99,inverter_failure
11,192,1010.17,22.78,55.64,30.88,1.469,28.773,15.0,1582.92,normal
17,107,333.68,20.97,29.9,68.41,3.208,12.897,15.0,217.44,panel_failure
13,191,977.05,24.7,55.83,30.95,3.147,17.669,15.0,610.51,panel_failure
1,336,0.0,24.77,25.05,96.62,3.04,29.196,0.0187,4.71,dirty_panels
0,138,0.0,15.1,15.59,91.16,1.997,17.173,0.0715,0.0,panel_failure
9,49,465.42,29.23,43.14,44.51,0.55,29.885,15.0,776.87,normal
21,219,14.08,14.92,15.8,95.37,2.265,28.313,0.1936,12.67,dirty_panels
0,287,28.5,17.79,18.66,93.85,3.42,29.022,2.1875,60.41,normal
1,350,0.0,21.87,20.98,92.57,3.76,4.861,2.9841,20.72,inverter_failure
16,198,550.9,20.12,35.95,54.87,1.451,30.655,12.9722,408.23,partial_shading
10,288,556.23,28.13,45.71,41.93,4.776,30.495,15.0,628.88,dirty_panels
5,92,0.0,21.47,20.27,86.93,3.143,28.755,0.0197,4.95,normal
4,155,0.0,15.43,16.78,93.44,3.621,29.214,0.3256,15.44,partial_shading
15,153,699.19,21.76,44.52,45.36,2.37,29.483,15.0,1173.76,normal
12,122,963.02,26.85,57.99,27.65,4.589,17.213,15.0,602.08,panel_failure
15,262,520.65,25.41,43.41,45.42,2.413,29.676,15.0,587.76,dirty_panels
6,323,144.85,27.41,31.52,79.5,6.154,28.258,8.537,239.3,normal
12,120,939.83,24.8,53.52,30.83,2.889,31.495,15.0,642.34,partial_shading
20,50,0.0,24.83,22.82,93.57,5.259,26.568,0.0,0.0,normal
7,302,216.62,27.86,34.41,64.94,1.67,28.694,12.45,377.35,normal
9,311,425.03,30.55,45.23,45.8,2.345,30.268,15.0,485.86,dirty_panels
3,342,3.96,21.4,20.88,94.56,1.965,30.031,0.0442,0.0,partial_shading
15,94,581.24,24.21,42.33,52.55,0.184,19.047,15.0,397.14,panel_failure
0,263,0.0,20.62,20.21,96.7,3.136,28.128,0.5784,22.6,normal
5,262,0.0,18.78,19.06,85.06,1.145,28.749,0.0389,0.0,normal
17,289,242.31,28.76,36.73,69.7,0.753,29.539,8.2794,244.42,dirty_panels
0,295,28.03,22.35,21.81,92.43,4.034,30.4,1.0588,32.37,normal
23,348,12.04,21.16,20.39,94.87,5.599,29.737,0.283,7.25,normal
9,175,710.33,20.45,43.88,42.77,5.898,20.072,15.0,470.09,panel_failure
9,28,400.48,33.48,46.33,55.42,3.183,29.653,15.0,455.13,dirty_panels
12,71,733.77,30.95,53.61,30.63,0.432,17.351,15.0,487.42,panel_failure
15,324,375.79,30.84,43.83,50.57,1.656,28.144,15.0,617.35,normal
11,309,579.88,31.59,48.83,35.37,3.777,29.667,15.0,951.33,normal
21,5,2.29,23.25,23.95,97.22,1.831,29.499,0.2257,3.1,partial_shading
23,135,45.28,13.49,14.42,95.41,3.357,28.361,0.7543,34.55,partial_shading
4,90,19.43,17.2,18.24,98.48,5.454,29.41,1.394,38.9,normal
16,118,509.02,22.63,36.82,56.99,1.88,29.028,15.0,864.26,normal
7,234,340.41,24.91,35.32,63.77,1.752,28.839,15.0,589.11,normal
23,187,0.37,12.33,12.88,100.0,1.197,30.208,0.0,14.95,dirty_panels
6,176,245.82,16.77,24.55,77.91,2.807,30.068,5.9843,176.32,partial_shading
7,159,364.69,17.68,30.21,63.73,2.576,29.235,9.3498,274.07,partial_shading
17,235,359.15,22.46,34.39,66.27,4.315,28.675,15.0,614.52,normal
18,250,210.96,21.06,26.62,78.88,3.308,30.151,11.6379,344.23,normal
3,16,22.86,23.86,24.6,96.72,3.596,29.684,0.3459,11.17,normal
13,51,638.25,27.87,46.95,38.16,1.943,30.708,15.0,1051.34,normal
8,125,531.22,23.33,39.94,57.45,4.564,29.683,15.0,904.79,normal
14,160,873.12,20.92,48.46,39.31,3.951,29.437,15.0,573.92,partial_shading
13,364,527.36,32.85,48.94,35.63,4.139,29.855,12.251,359.37,partial_shading
23,326,5.37,21.21,21.8,100.0,5.308,30.208,0.0625,0.0,dirty_panels
22,237,8.67,18.65,18.27,100.0,3.732,27.891,0.0104,0.99,normal
15,14,376.8,31.51,42.58,52.13,3.954,4.124,12.3195,41.23,inverter_failure
16,37,305.58,32.08,41.72,58.24,4.641,31.019,15.0,488.61,normal
21,167,4.81,15.26,14.94,95.02,3.969,28.515,0.1831,0.35,normal
4,215,0.0,17.45,16.78,94.03,3.695,28.673,0.0142,0.0,normal
17,242,318.43,22.5,33.29,65.55,2.601,28.09,8.8339,240.39,partial_shading
18,52,160.19,26.23,31.61,70.9,1.282,29.762,4.6565,129.11,partial_shading
3,325,4.5,25.2,24.11,99.59,1.442,14.36,0.0494,2.35,panel_failure
21,181,5.64,15.81,16.46,98.53,0.956,27.245,0.0,9.19,normal
16,217,492.63,22.96,37.91,50.15,3.737,28.822,15.0,848.19,normal
8,15,281.61,29.78,37.48,60.96,1.852,29.569,7.076,218.79,partial_shading
11,301,650.54,30.64,48.82,36.54,4.373,28.504,15.0,1049.71,normal
11,199,997.74,25.09,56.79,30.7,1.649,29.4,15.0,1553.81,normal
22,82,0.0,20.17,19.53,96.48,0.759,3.718,0.2175,16.27,inverter_failure
23,117,0.0,13.5,12.57,89.77,2.939,28.728,0.0,6.24,dirty_panels
19,129,0.0,17.19,17.67,89.02,3.65,27.886,0.1654,0.0,normal
15,10,377.08,30.03,42.4,49.84,1.931,29.232,9.5292,271.88,partial_shading
2,344,0.4,25.16,24.57,95.24,2.772,30.538,0.0,1.25,normal
21,294,6.45,20.53,21.46,90.78,0.451,16.95,0.0169,7.27,panel_failure
3,324,0.0,24.55,26.09,96.34,1.031,28.693,0.4462,12.24,normal
4,130,0.0,16.07,17.08,98.18,1.812,18.784,0.0744,0.0,panel_failure
1,204,0.0,13.92,14.99,96.14,2.945,19.178,0.5484,17.77,panel_failure
22,168,3.63,15.62,15.85,94.31,0.453,27.026,0.0235,0.0,partial_shading
11,174,1027.88,20.66,52.16,38.98,0.329,28.884,15.0,679.94,partial_shading
5,215,0.0,20.8,20.76,86.28,4.464,27.891,0.1569,4.5,dirty_panels
1,165,0.0,14.51,14.85,97.32,3.592,13.501,0.7634,0.0,panel_failure
9,283,493.0,25.25,39.51,48.68,1.723,5.041,14.0728,85.85,inverter_failure
17,22,176.81,31.23,36.23,74.3,2.42,28.607,7.2633,207.66,dirty_panels
23,71,16.38,19.6,18.86,96.0,3.85,29.246,0.0525,0.0,normal
13,326,539.0,31.62,48.36,40.05,4.826,30.301,11.8256,358.79,partial_shading
14,323,508.96,30.24,46.11,43.62,2.18,30.501,15.0,816.5,normal
20,299,11.93,21.2,21.21,91.58,4.232,27.902,1.3301,37.23,normal
21,135,10.98,19.0,19.62,92.39,1.117,17.708,0.0431,7.11,panel_failure
6,167,208.8,16.97,22.78,76.01,1.881,28.267,14.0374,418.74,normal
23,10,0.0,20.11,19.59,97.87,3.458,29.511,0.0,0.81,partial_shading
12,102,867.38,26.61,54.17,32.75,3.523,4.713,15.0,144.73,inverter_failure
22,266,24.87,16.04,17.59,93.97,3.272,4.255,2.8233,13.77,inverter_failure
2,126,0.0,14.02,13.42,99.12,7.498,28.623,0.3099,20.41,normal
2,176,10.88,15.5,16.12,88.84,2.4,29.395,1.5951,50.44,normal
21,45,0.0,22.98,22.4,91.11,0.729,27.267,0.0112,6.87,normal
16,182,543.4,20.24,37.02,46.88,1.069,28.125,14.0103,399.83,partial_shading
4,264,0.0,19.09,19.2,98.62,4.325,29.267,0.0,4.18,partial_shading
21,209,15.78,14.71,15.65,94.46,4.217,15.873,0.7338,0.0,panel_failure
2,204,0.0,14.65,15.03,97.83,3.361,27.578,0.3633,0.0,partial_shading
16,334,262.4,29.29,37.8,58.19,0.716,29.347,10.8491,306.91,dirty_panels
4,86,27.16,17.68,17.63,97.7,4.053,29.288,1.5018,31.39,normal
1,110,0.0,15.67,15.96,94.62,3.418,28.185,0.0208,0.0,normal
19,228,5.87,18.06,18.47,90.29,2.636,28.461,0.1161,16.09,normal
20,176,2.9,17.24,17.76,95.79,4.108,29.413,0.0,0.0,normal
2,358,0.0,25.15,24.9,95.87,1.48,4.979,0.1205,0.82,inverter_failure
2,22,11.52,21.84,22.57,100.0,3.987,28.916,0.3315,7.46,normal
14,45,543.75,28.5,44.44,36.69,2.284,28.901,15.0,905.63,normal
0,125,0.0,15.31,14.99,94.79,1.047,28.769,0.2916,8.92,normal
17,168,365.69,22.85,34.19,65.99,4.564,29.141,15.0,627.11,normal
21,326,0.0,22.27,21.32,95.14,2.689,28.456,0.3488,15.02,partial_shading
18,181,249.61,18.15,25.68,75.09,2.673,5.956,7.4684,39.01,inverter_failure
5,160,15.02,17.24,17.71,87.31,1.343,28.792,0.5671,9.03,normal
4,61,0.0,20.5,19.14,99.59,2.58,27.932,0.0,0.0,normal
16,159,549.74,20.18,37.3,53.93,2.117,29.927,12.8087,388.76,partial_shading
1,195,1.17,16.12,14.81,100.0,3.01,28.435,0.0452,0.0,normal
12,214,986.74,24.93,56.99,31.93,4.895,29.821,15.0,1536.13,normal
10,222,826.31,25.42,51.11,36.56,2.2,28.486,15.0,1311.57,normal
17,157,361.86,20.65,31.84,67.28,3.135,30.457,8.0045,248.22,partial_shading
4,58,20.36,22.25,22.53,95.27,3.981,29.553,0.0,1.67,partial_shading
18,56,140.8,27.78,32.39,82.03,1.494,28.261,5.6913,149.29,dirty_panels
16,57,349.79,29.73,41.09,53.89,1.344,18.234,12.7948,234.33,panel_failure
5,226,0.73,22.5,21.32,83.66,4.612,27.775,0.0659,0.0,normal
8,313,301.12,31.34,41.83,59.02,7.902,29.101,15.0,495.25,normal
1,323,33.62,22.28,23.97,97.14,4.334,28.318,1.3437,34.44,normal
10,114,779.69,25.97,50.54,38.73,3.284,4.764,15.0,129.39,inverter_failure
6,30,148.07,28.23,32.66,79.85,0.234,29.735,8.404,274.85,normal
2,231,30.21,19.25,18.02,96.05,2.068,28.469,1.5192,51.69,dirty_panels
13,15,536.79,30.92,46.68,33.74,1.122,29.528,15.0,613.74,dirty_panels
13,229,886.88,25.91,53.94,33.77,4.669,31.313,15.0,599.44,partial_shading
2,140,1.36,13.72,14.62,98.95,3.4,28.862,0.0,0.0,dirty_panels
4,307,0.0,23.19,23.74,95.52,4.939,28.208,0.0507,21.23,normal
1,229,4.45,15.9,15.84,91.07,1.547,29.041,0.0371,0.0,normal
16,271,389.1,27.13,40.55,55.75,2.94,30.559,15.0,628.94,normal
8,149,539.0,19.01,36.97,55.91,2.305,30.957,15.0,969.92,normal
1,307,15.01,23.61,23.8,100.0,1.061,27.506,0.219,0.0,partial_shading
4,192,0.0,14.6,16.24,89.13,2.813,27.525,0.2088,9.78,partial_shading
23,229,1.62,14.76,13.94,96.08,4.019,29.799,0.1026,0.27,partial_shading
6,132,217.37,22.4,28.2,73.89,3.127,28.954,6.2598,172.39,partial_shading
16,165,565.12,20.2,37.21,55.71,4.957,27.709,15.0,960.97,normal
11,307,600.23,31.78,49.99,38.94,2.835,29.272,15.0,661.79,dirty_panels
4,144,48.77,14.72,15.71,93.69,1.625,28.442,2.35,76.15,normal
7,8,179.06,29.65,36.09,70.03,1.093,28.861,4.2527,126.6,partial_shading
0,139,0.0,18.12,18.09,98.42,3.116,29.565,0.1128,8.89,dirty_panels
17,144,371.39,20.27,32.03,64.8,1.55,28.624,9.0522,257.52,partial_shading
8,153,532.28,20.16,36.73,50.55,4.753,30.794,15.0,615.65,dirty_panels
11,26,540.12,34.7,50.15,42.22,5.184,17.874,15.0,352.74,panel_failure
3,48,0.0,21.21,20.07,97.49,3.45,27.513,0.0352,0.0,normal
19,119,0.0,16.53,16.24,90.75,2.77,28.481,0.1963,0.0,partial_shading
5,155,6.53,16.1,15.53,86.96,0.454,21.037,0.3464,11.48,panel_failure
13,11,511.57,30.64,46.67,41.37,0.409,29.876,15.0,584.63,dirty_panels
20,143,21.29,13.58,15.22,100.0,3.923,29.217,1.3547,39.98,normal
17,117,333.81,21.14,31.68,65.49,2.864,28.891,15.0,596.46,normal
14,13,430.46,31.9,44.81,43.3,3.778,30.245,15.0,758.94,normal
21,92,7.11,20.21,19.61,91.8,0.616,28.402,0.164,13.47,normal
4,101,5.42,18.24,19.52,92.84,1.277,17.963,0.0139,0.0,panel_failure
23,53,0.0,20.48,21.63,91.78,4.182,17.929,0.4956,2.33,panel_failure
13,275,715.27,27.51,50.3,35.86,2.748,32.928,15.0,512.83,partial_shading
9,27,394.74,32.01,43.23,48.28,3.157,28.642,15.0,660.69,normal
6,211,233.68,21.51,29.31,77.48,3.913,30.556,13.6329,410.72,normal
17,243,297.57,23.49,32.73,63.97,1.8,19.644,9.6264,184.26,panel_failure
23,295,0.0,20.54,20.56,94.5,1.648,27.89,0.0423,4.96,normal
16,200,526.79,19.41,35.35,51.78,2.541,30.447,15.0,894.95,normal
0,199,10.17,16.11,16.29,95.35,0.674,28.333,0.0171,2.65,partial_shading
11,278,706.49,31.78,53.26,30.75,5.761,30.48,15.0,757.41,dirty_panels
17,312,232.64,28.81,34.92,68.05,2.786,29.394,13.0199,385.31,normal
9,77,558.18,26.12,44.55,46.06,0.703,29.564,15.0,910.43,normal
18,291,150.9,25.39,30.67,78.32,1.8,28.663,4.0041,108.55,partial_shading
16,169,573.65,20.12,37.6,49.05,3.462,30.274,13.6303,415.09,partial_shading
1,36,5.91,21.94,22.21,96.96,3.14,27.896,0.5873,26.61,partial_shading
13,224,906.11,25.69,54.03,31.84,2.867,29.729,15.0,1437.6,normal
4,357,13.97,24.41,26.52,95.48,6.104,29.778,0.8347,28.38,normal
11,52,616.42,31.73,51.56,31.38,0.696,30.456,13.4883,395.22,partial_shading
9,6,381.47,32.05,44.53,45.83,3.946,2.707,15.0,52.51,inverter_failure
19,335,8.74,25.42,25.5,87.87,0.744,27.8,0.0,2.31,partial_shading
20,218,12.47,16.4,16.58,98.89,1.705,26.696,1.1755,30.93,normal
11,80,756.29,27.07,51.6,36.5,2.507,31.213,15.0,1218.95,normal
12,290,690.87,29.94,51.42,35.31,2.663,30.832,15.0,1088.07,normal
15,144,717.12,24.95,46.65,41.77,3.289,29.139,15.0,799.04,dirty_panels
15,122,643.98,26.36,47.14,42.12,2.276,30.758,15.0,745.51,dirty_panels
15,106,608.94,25.84,45.57,46.91,1.025,32.008,15.0,1016.2,normal
18,219,235.16,20.06,25.68,78.65,3.224,27.721,14.5302,395.06,normal
23,50,0.0,17.79,17.1,95.63,2.358,2.91,0.0,3.84,inverter_failure
19,133,0.0,18.42,18.69,94.19,3.388,27.239,0.0,0.0,partial_shading
3,112,0.0,15.25,13.81,92.95,3.378,17.559,0.0,11.71,panel_failure
11,23,566.94,34.49,50.93,38.2,1.932,18.082,15.0,349.33,panel_failure
11,279,695.33,26.78,47.89,30.89,3.352,29.766,15.0,1115.56,normal
12,4,521.62,33.42,50.23,37.74,2.342,30.08,15.0,591.11,dirty_panels
12,351,507.18,31.68,47.7,41.91,4.931,29.243,11.9297,361.94,partial_shading
17,35,213.84,28.13,36.07,64.57,2.913,28.831,12.5323,361.69,normal
10,131,845.19,24.6,51.17,39.49,2.055,4.679,15.0,150.91,inverter_failure
6,36,155.98,28.35,32.81,82.05,1.522,28.493,9.4728,275.2,normal
10,134,834.63,23.35,48.85,34.91,0.837,5.429,15.0,126.3,inverter_failure
20,223,28.28,18.61,18.77,96.19,1.533,28.672,0.1369,8.91,dirty_panels
7,32,228.9,27.33,34.87,72.31,1.325,29.34,13.6014,393.18,normal
0,192,25.47,14.66,15.75,95.44,2.466,29.435,1.3504,25.78,dirty_panels
23,282,12.61,20.4,21.06,97.14,0.585,29.413,1.0554,33.51,normal
4,167,27.69,14.52,15.66,89.32,0.236,27.348,1.4786,45.0,normal
14,42,536.18,29.71,47.17,43.55,1.426,31.265,11.9872,366.88,partial_shading
19,253,0.0,20.7,20.76,90.61,3.18,28.859,0.169,3.53,partial_shading
6,69,171.71,25.86,32.48,73.34,4.296,28.826,10.851,300.66,normal
8,7,283.22,28.88,37.43,55.24,1.674,17.088,12.1774,205.04,panel_failure
6,160,260.31,17.02,25.21,77.85,1.587,31.317,14.8826,462.8,normal
3,99,21.11,18.36,18.6,93.8,2.938,31.198,0.9243,34.69,normal
3,11,27.82,23.0,24.51,97.9,2.537,30.725,0.902,21.74,partial_shading
4,284,5.21,18.57,18.1,95.79,4.958,28.94,0.6128,7.92,normal
10,219,831.85,25.98,51.56,37.47,2.889,30.796,15.0,582.1,partial_shading
12,333,518.15,31.01,45.93,36.66,2.46,31.335,12.0642,379.76,partial_shading
0,176,0.0,13.71,14.3,95.81,3.16,28.568,0.0,7.4,normal
20,160,7.84,14.84,15.78,97.41,1.887,29.341,0.0,5.41,normal
16,308,322.49,28.78,39.39,59.33,3.678,29.663,15.0,566.04,normal
1,30,0.0,21.51,22.14,93.72,4.111,30.72,0.0546,3.6,normal
20,133,0.0,17.82,18.67,98.61,0.705,30.25,0.0795,5.57,dirty_panels
0,292,0.0,21.54,22.07,96.97,3.125,28.662,0.059,1.05,normal
13,107,879.81,27.14,55.1,34.15,3.887,32.085,15.0,1390.75,normal
11,324,506.94,31.26,47.31,39.01,1.104,4.589,15.0,94.62,inverter_failure
12,104,904.71,29.25,56.65,33.11,1.274,30.039,15.0,1406.89,normal
22,151,24.3,10.73,11.14,89.23,3.163,28.551,0.9089,24.87,normal
22,328,44.02,20.37,21.3,95.3,3.286,29.004,1.8286,54.21,normal
6,89,202.39,25.26,31.28,81.91,2.833,28.416,5.3036,154.77,partial_shading
13,354,538.55,33.56,48.93,38.91,4.662,29.341,15.0,853.68,normal
23,17,0.0,22.27,21.42,95.21,0.446,27.362,0.0,1.66,partial_shading
17,98,298.59,23.79,33.7,64.48,2.29,28.601,15.0,533.68,normal
21,216,5.36,16.62,17.55,96.36,1.861,29.05,0.2525,8.05,normal
10,217,827.13,24.28,50.17,36.68,2.108,31.498,15.0,1328.34,normal
6,333,134.72,26.55,32.16,82.23,3.121,29.94,3.0098,105.25,partial_shading
12,351,517.74,34.22,49.71,34.64,2.215,30.265,15.0,577.26,dirty_panels
19,248,0.0,21.69,22.03,87.7,3.833,27.271,0.1214,13.05,normal
22,241,15.98,18.53,19.75,93.08,3.049,27.955,0.0,0.0,partial_shading
16,116,481.59,25.54,41.58,60.68,1.366,29.578,15.0,830.73,normal
16,295,334.64,28.84,39.75,56.93,1.087,30.43,8.2201,239.64,partial_shading
12,235,909.01,23.82,52.8,29.83,1.568,30.047,15.0,1470.0,normal
7,9,194.31,31.98,38.34,61.64,1.28,27.984,5.5456,144.83,partial_shading
10,304,549.37,29.11,47.12,38.9,2.163,31.322,15.0,876.34,normal
11,132,943.04,24.5,54.63,33.77,1.785,29.932,15.0,999.74,dirty_panels
19,174,2.95,16.62,15.98,90.63,2.043,27.672,0.0,13.87,normal
13,178,1035.61,22.23,54.38,28.92,2.797,31.069,15.0,1616.32,normal
19,300,0.0,26.1,24.94,87.27,1.009,28.75,0.0354,0.0,normal
0,98,14.84,17.9,19.3,100.0,1.22,28.316,1.2042,26.5,normal
18,144,261.27,19.67,27.93,84.2,1.528,29.318,6.3326,180.85,partial_shading
12,15,568.85,31.3,50.26,39.84,4.567,29.022,15.0,609.4,dirty_panels
23,128,5.99,13.41,13.68,99.51,1.967,28.311,1.0125,28.32,normal
11,33,599.01,30.36,47.15,42.78,2.241,29.928,13.3259,388.2,partial_shading
11,213,990.43,23.75,56.4,38.11,5.303,4.75,15.0,172.79,inverter_failure
3,327,7.43,23.27,23.37,94.09,1.855,29.755,0.0349,10.8,normal
19,170,0.0,19.77,19.02,86.42,2.482,15.436,0.0,15.56,panel_failure
16,333,301.13,30.01,40.1,63.57,4.394,28.452,15.0,497.55,normal
20,357,0.0,22.47,24.0,92.11,4.262,29.8,0.0,0.0,partial_shading
2,20,32.78,25.42,25.85,91.64,5.014,29.407,1.1493,33.74,normal
5,189,10.13,17.89,17.81,86.04,1.754,28.887,0.0884,2.95,normal
21,193,9.65,14.52,14.76,94.58,1.874,27.096,0.0365,0.0,partial_shading
1,141,6.83,14.04,13.21,89.05,1.308,28.194,0.0871,0.0,dirty_panels
12,304,609.53,29.81,48.36,31.55,2.125,29.804,15.0,669.08,dirty_panels
9,145,703.77,25.13,48.33,42.89,2.784,30.056,15.0,1164.0,normal
22,21,16.94,22.62,22.65,91.35,3.916,4.44,4.2256,7.38,inverter_failure
20,200,3.9,13.63,13.0,98.19,5.255,5.508,4.8451,13.89,inverter_failure
21,74,7.28,20.47,20.58,94.81,2.883,29.443,1.038,21.02,normal
6,130,246.74,21.4,29.58,78.19,1.396,28.738,14.4495,417.95,normal
14,184,897.91,22.75,49.5,37.54,4.547,31.822,15.0,1469.2,normal
16,264,390.91,24.45,36.87,56.01,2.702,28.993,15.0,671.75,normal
23,102,0.0,14.03,15.88,97.96,0.543,26.176,0.0797,0.0,normal
0,139,0.0,13.41,14.93,96.36,3.828,27.55,0.0042,0.73,dirty_panels
23,25,44.95,23.69,25.48,93.39,3.07,26.515,1.6589,44.53,partial_shading
8,141,564.61,21.33,39.39,49.25,3.631,29.509,15.0,628.72,dirty_panels
3,212,2.67,12.62,13.6,96.56,0.559,28.622,0.0154,14.69,dirty_panels
14,226,833.36,24.99,50.17,33.78,2.617,28.825,15.0,1301.92,normal
18,108,218.11,21.29,28.84,77.85,3.112,28.385,13.8472,399.63,normal
3,23,1.85,22.52,23.86,95.24,2.274,4.612,5.1612,25.11,inverter_failure
0,211,19.67,13.55,13.25,90.61,0.33,28.714,1.0369,36.99,normal
21,240,0.5,15.85,16.29,95.78,3.674,27.947,0.0531,4.09,normal
22,32,3.09,23.61,23.88,95.57,1.833,29.81,0.0,6.13,normal
3,185,12.97,14.5,14.58,95.58,3.908,28.97,0.0156,7.04,partial_shading
21,35,10.16,23.66,24.21,95.18,3.928,30.439,0.3136,16.13,partial_shading
21,166,0.07,14.79,14.96,93.04,1.802,28.345,0.0156,1.13,normal
23,234,5.14,15.39,15.62,96.77,2.347,30.944,0.8398,36.04,normal
5,263,15.53,21.28,22.27,86.92,4.715,28.812,0.6324,15.2,normal
13,261,717.09,27.35,50.68,31.94,3.125,29.742,15.0,1177.98,normal
23,277,0.0,20.23,20.1,97.02,3.031,31.209,0.3817,0.0,normal
21,89,18.14,20.81,20.74,97.54,1.195,27.007,1.3245,38.67,normal
14,309,528.91,29.12,45.0,43.71,2.524,29.286,15.0,866.71,normal
4,128,11.62,15.05,15.74,94.14,4.096,27.166,0.722,3.8,dirty_panels
2,137,14.89,16.14,15.9,89.04,1.255,26.98,0.3819,4.24,dirty_panels
6,288,208.89,28.22,34.95,81.56,1.553,15.145,7.9511,127.0,panel_failure
1,120,0.09,18.55,18.87,89.13,2.474,29.417,0.0,0.0,normal
4,28,4.07,21.75,22.79,96.67,2.283,27.483,0.3845,11.54,dirty_panels
1,261,3.94,20.72,20.24,100.0,0.79,28.545,0.0,7.53,partial_shading
18,242,218.63,21.63,27.8,77.19,5.509,30.126,8.9602,270.68,dirty_panels
14,213,839.78,25.17,52.2,38.0,1.484,30.939,15.0,562.01,partial_shading
12,53,691.09,31.48,53.22,35.75,2.989,30.599,15.0,1086.04,normal
19,231,0.0,17.47,17.32,89.65,2.849,17.393,0.4361,10.66,panel_failure
9,73,533.94,28.18,45.65,54.17,2.89,31.494,11.9104,364.36,partial_shading
9,203,715.94,23.89,46.6,42.06,5.227,28.97,15.0,1166.76,normal
4,186,0.0,14.11,13.17,92.09,6.173,29.283,0.013,0.0,partial_shading
10,283,595.84,28.7,48.58,39.67,3.424,29.733,15.0,691.4,dirty_panels
4,357,0.0,21.64,21.45,100.0,1.408,28.661,0.3816,11.01,partial_shading
14,70,630.47,29.35,50.41,38.46,3.838,28.555,15.0,1021.47,normal
23,42,0.22,20.72,19.72,96.29,1.483,28.268,0.3172,15.24,partial_shading
12,203,993.8,22.31,53.89,33.17,2.566,16.501,15.0,638.59,panel_failure
7,348,182.58,29.08,34.72,70.51,1.942,17.594,6.3168,120.08,panel_failure
16,58,333.81,27.88,36.79,60.57,0.976,28.31,15.0,566.47,normal
19,178,0.0,16.19,17.08,93.12,2.104,26.44,1.6273,54.71,normal
11,149,963.64,23.24,52.11,32.57,1.057,30.734,15.0,1546.8,normal
6,117,228.27,17.79,24.23,75.43,0.225,27.97,13.9579,397.15,normal
17,243,319.97,24.92,35.93,66.49,0.841,17.301,12.1183,213.06,panel_failure
4,108,18.51,16.76,16.76,93.79,2.611,29.486,0.7169,27.28,normal
23,180,0.0,10.71,10.03,100.0,2.111,28.7,0.0389,3.52,normal
7,309,217.1,24.46,31.79,66.11,1.442,28.8,13.294,373.37,normal
8,139,525.25,23.07,39.51,55.97,4.649,18.065,15.0,357.92,panel_failure
17,8,178.89,30.19,35.97,63.52,0.776,30.037,5.1489,154.5,partial_shading
0,324,16.48,23.64,25.23,95.1,4.713,27.686,0.9344,18.48,partial_shading
4,101,3.69,18.59,17.71,94.14,4.77,29.528,0.0,11.85,partial_shading
3,283,5.66,21.96,21.61,97.03,2.34,27.796,0.3891,15.07,normal
9,279,510.06,28.32,44.87,49.72,0.625,30.42,15.0,584.92,dirty_panels
13,193,977.17,22.79,52.61,35.69,4.83,29.224,15.0,667.14,partial_shading
4,33,7.68,22.04,23.37,99.01,4.576,29.343,0.0093,0.0,partial_shading
8,347,265.97,31.33,39.67,58.22,1.671,18.194,10.9019,208.26,panel_failure
18,249,208.78,24.22,31.57,73.95,1.567,29.325,12.7258,368.89,normal
22,155,0.0,13.32,13.97,92.52,2.259,29.759,0.0,11.26,dirty_panels
0,312,31.51,24.94,25.92,95.38,0.668,28.049,2.4268,80.71,normal
15,288,455.23,29.32,43.26,48.86,1.247,29.69,15.0,770.49,normal
0,278,3.75,20.83,20.84,95.75,5.2,29.106,0.0,8.86,partial_shading
